Transect,Site,Date Time,Turbidity (NTU) (895841),Salinity (PSU) (749968),pH (pH) (723485),Density (g/cmÂ³) (749968),Temperature (Â°C) (732880),Depth (ft) (729320),Actual Conductivity (ÂµS/cm) (749968),Resistivity (Î©â‹…cm) (749968),Total Dissolved Solids (ppt) (749968),Pressure (psi) (729320),Specific Conductivity (ÂµS/cm) (749968),ORP (mV) (723485),External Voltage (V) (732880),Barometric Pressure (mbar) (748439),Temperature (Â°C) (748439),BGA-PE Fluorescence (RFU) (1056293),Marked,,,
1A,1,2/27/2023,0,37.40026296,7.773842467,1.025751767,23.06991133,1.259341913,53060.13427,4106.480089,35.80984177,0.276031067,55089.83294,193.7141,17.04238133,1024.017133,27.458496,0,,,,
1A,1,3/13/2023,0.689097605,30.49356989,7.949663688,1.020085413,24.60928688,0.635228825,44734.44279,13425.29155,29.34293499,0.004756335063,45156.54875,122.7445063,17.0339325,1019.391938,27.44916375,0,,,,
1A,1,4/16/2023,0,31.20833917,8.136003804,1.043996215,25.18612856,0.6501185887,45783.01813,13739.98039,30.03073338,0.004867823556,46215.01825,125.6216375,17.43320788,1043.286485,28.09257215,0,,,,
1A,1,5/21/2023,0,28.16312306,7.342116961,0.9421261959,22.72854169,0.5866819671,41315.64857,12399.27432,27.10042451,0.004392835937,41705.49542,113.363855,15.73212775,941.4857192,25.35138324,0,,,,
1A,1,6/18/2023,0,27.95868695,7.288820534,0.9352873019,22.56355521,0.5824232427,41015.73827,12309.26799,26.90370253,0.004360948341,41402.75523,112.5409467,15.61792824,934.6514744,25.16735754,0, ,,,
1A,1,7/24/2023,0,3.481066211,8.118816143,0.9993233643,26.29889714,0.7740915143,6400.980541,6877.7798,0,0,0,0,0,0,0,0,,,,
1A,1,9/4/2023,0,30.00432357,8.185896133,1.019255467,26.12907667,1.070664173,50406.50197,227.537141,0,0,0,64.470852,21.2572874,-157.7963385,0,0,,,,
1A,1,10/2/2023,2.303842733,40.43341067,8.289789067,1.0269792,26.55861867,0.79937156,61143.62733,16.35258067,35.33414267,0.07549431333,54339.906,162.5643333,0,1020.205,0,0.0001468831339,,,,
1A,1,11/20/2023,8.226037152,41.2820791,8.407564483,1.029616245,25.73249541,1.283011379,61453.64362,21.75677962,41.58500793,0.2929789105,60309.77934,156.9188203,0,1017.854921,0,0.001210052633,,,,
1A,1,2/5/2024,0.5341022092,36.08786347,8.132645789,1.023407795,22.36689305,0.7873426163,51171.07353,20.97876484,33.31684832,0.05542744879,53881.69521,206.1539995,,1024.563695,,0.0042121324,,,,
1B,3,2/27/2023,0,34.67642613,8.366451667,1.023717353,22.99523667,1.099856293,54658.42227,80.1397807,33.29156,0.2260366987,56836.48513,145.2475933,17.03237733,1024.166867,27.50841133,0,,,,
1B,3,3/13/2023,2.082682873,40.36989067,8.393944333,1.027649467,24.21587533,2.068248753,58512.72867,17.08992333,38.611524,0.6264046193,59402.77333,-10.06546103,17.024204,1019.330467,29.01816267,0,,,,
1B,3,4/16/2023,0,41.58098739,8.645762663,1.058478951,24.94235159,2.130296216,60268.11053,17.60262103,39.76986972,0.6451967579,61184.85653,-10.36742486,17.53493012,1049.910381,29.88870755,0,,,,
1B,3,5/21/2023,0,37.43499962,7.78370458,0.9529393504,22.4553812,1.917887069,54258.85329,15.84748591,35.80446621,0.5808650035,55084.19171,-9.333702016,15.78654437,945.2251417,26.90854224,0,,,,
1B,3,6/18/2023,0,33.78254157,7.024264092,0.8599629639,20.26445456,1.730762663,48964.92549,14.3012784,32.31109605,0.5241911668,49709.7373,-8.423031378,14.24628281,853.0014151,24.28312959,0,,,,
1B,3,7/24/2023,0,3.977624923,7.919223308,0.9995653,26.75406077,0.7796702692,7375.508462,135.5830462,21.2885593,-157.706337,0,0,0,0,0,0,,,,
1B,3,9/4/2023,0,34.62204806,8.218167944,1.022745194,25.99763778,1.515166336,52757.21306,19.15692417,0,0,0,-15.61121947,21.25706007,-157.7962428,0,0,,,,
